Frequency (Hz)	Level (dB)
219.970703	-83.210510
220.214844	-80.775421
220.458984	-79.689346
220.703125	-80.589745
220.947266	-84.070045
221.191406	-81.979507
221.435547	-84.926842
221.679688	-85.091385
221.923828	-81.858093
222.167969	-83.649323
222.412109	-86.542694
222.656250	-83.866318
222.900391	-85.195786
223.144531	-82.249504
223.388672	-83.245544
223.632812	-82.647278
223.876953	-83.759758
224.121094	-81.044746
224.365234	-84.301506
224.609375	-82.047722
224.853516	-84.076630
225.097656	-83.921936
225.341797	-82.955444
225.585938	-82.101494
225.830078	-84.095604
226.074219	-83.722824
226.318359	-80.474686
226.562500	-86.333534
226.806641	-81.702919
227.050781	-84.337257
227.294922	-85.938095
227.539062	-80.090538
227.783203	-82.739899
228.027344	-84.013329
228.271484	-85.381775
228.515625	-82.403107
228.759766	-83.902153
229.003906	-83.740608
229.248047	-87.508217
229.492188	-84.227730
229.736328	-81.059837
229.980469	-83.215370
230.224609	-83.766212
230.468750	-84.478363
230.712891	-82.079407
230.957031	-83.723511
231.201172	-85.392494
231.445312	-83.569145
231.689453	-81.765686
231.933594	-81.409218
232.177734	-82.529686
232.421875	-81.965958
232.666016	-82.807884
232.910156	-81.066223
233.154297	-81.032585
233.398438	-79.524139
233.642578	-80.826599
233.886719	-81.624992
234.130859	-82.152473
234.375000	-81.742981
234.619141	-81.896965
234.863281	-80.948502
235.107422	-82.700363
235.351562	-84.157547
235.595703	-82.015541
235.839844	-82.363426
236.083984	-80.854866
236.328125	-82.898460
236.572266	-82.988045
236.816406	-84.017044
237.060547	-82.419144
237.304688	-83.983780
237.548828	-78.413506
237.792969	-79.822487
238.037109	-84.887314
238.281250	-86.912941
238.525391	-84.319283
238.769531	-84.585121
239.013672	-83.710167
239.257812	-82.140800
239.501953	-82.511803
239.746094	-80.206314
239.990234	-83.784370
240.234375	-83.315659
240.478516	-82.361908
240.722656	-81.242210
240.966797	-84.042679
241.210938	-83.335419
241.455078	-83.227722
241.699219	-82.502510
241.943359	-82.526787
242.187500	-82.721504
242.431641	-83.707420
242.675781	-83.650909
242.919922	-82.504738
243.164062	-83.890572
243.408203	-85.006104
243.652344	-80.547882
243.896484	-82.073425
244.140625	-82.574043
244.384766	-84.695213
244.628906	-80.618080
244.873047	-79.023491
245.117188	-86.585419
245.361328	-82.432526
245.605469	-81.669525
245.849609	-82.980598
246.093750	-84.030769
246.337891	-80.995285
246.582031	-81.902466
246.826172	-83.937401
247.070312	-82.055298
247.314453	-81.050217
247.558594	-86.891815
247.802734	-86.424614
248.046875	-86.817039
248.291016	-80.400818
248.535156	-85.313736
248.779297	-79.498131
249.023438	-80.793022
249.267578	-83.215248
249.511719	-84.810478
249.755859	-79.167831
250.000000	-80.470909
250.244141	-81.615120
250.488281	-81.303604
250.732422	-81.422058
250.976562	-83.511597
251.220703	-84.167236
251.464844	-82.624382
251.708984	-80.428398
251.953125	-85.081055
252.197266	-82.978249
252.441406	-82.212608
252.685547	-81.673500
252.929688	-82.516243
253.173828	-81.993683
253.417969	-80.524773
253.662109	-79.410126
253.906250	-83.230629
254.150391	-81.394600
254.394531	-81.890205
254.638672	-81.991844
254.882812	-79.908478
255.126953	-80.550400
255.371094	-78.198723
255.615234	-81.753960
255.859375	-83.113472
256.103516	-80.838196
256.347656	-85.012238
256.591797	-82.468750
256.835938	-86.471664
257.080078	-82.943855
257.324219	-80.970764
257.568359	-83.455673
257.812500	-80.393623
258.056641	-83.538109
258.300781	-84.271790
258.544922	-83.035095
258.789062	-84.452370
259.033203	-84.943848
259.277344	-85.508171
259.521484	-84.640144
259.765625	-82.418381
260.009766	-81.836006
260.253906	-84.394524
260.498047	-82.492622
260.742188	-83.141800
260.986328	-80.433365
261.230469	-79.815514
261.474609	-80.898476
261.718750	-81.937256
261.962891	-86.770996
262.207031	-86.269821
262.451172	-82.214172
262.695312	-81.229301
262.939453	-82.768105
263.183594	-80.789780
263.427734	-81.154968
263.671875	-81.045235
263.916016	-85.815948
264.160156	-83.818764
264.404297	-81.622429
264.648438	-81.413559
