Frequency (Hz)	Level (dB)
185.058594	-80.863121
185.546875	-80.216339
186.035156	-79.736679
186.523438	-80.647133
187.011719	-82.229668
187.500000	-83.391006
187.988281	-79.032639
188.476562	-78.918327
188.964844	-81.101028
189.453125	-81.632393
189.941406	-77.776848
190.429688	-82.542831
190.917969	-79.777710
191.406250	-80.814171
191.894531	-80.485634
192.382812	-80.654907
192.871094	-81.170120
193.359375	-81.069191
193.847656	-81.622963
194.335938	-81.794167
194.824219	-78.970085
195.312500	-77.960655
195.800781	-81.260765
196.289062	-83.346390
196.777344	-82.304207
197.265625	-81.199722
197.753906	-81.518188
198.242188	-80.559341
198.730469	-81.521851
199.218750	-80.524574
199.707031	-82.722549
200.195312	-81.662216
200.683594	-80.352203
201.171875	-80.024063
201.660156	-82.019501
202.148438	-79.736488
202.636719	-78.267471
203.125000	-80.616135
203.613281	-82.337318
204.101562	-79.859245
204.589844	-81.631683
205.078125	-81.933144
205.566406	-80.568588
206.054688	-80.109573
206.542969	-80.365112
207.031250	-79.481735
207.519531	-82.979546
208.007812	-81.412819
208.496094	-83.377258
208.984375	-81.236870
209.472656	-84.205772
209.960938	-81.863075
210.449219	-80.891670
210.937500	-80.399239
211.425781	-80.472549
211.914062	-81.665840
212.402344	-79.770454
212.890625	-81.561935
213.378906	-77.658432
213.867188	-78.336769
214.355469	-80.100830
214.843750	-80.177132
215.332031	-79.018890
215.820312	-81.288239
216.308594	-80.107109
216.796875	-79.504326
217.285156	-78.478714
217.773438	-81.237427
218.261719	-80.906776
218.750000	-82.972275
219.238281	-83.497414
219.726562	-82.317513
220.214844	-80.576195
220.703125	-80.696228
221.191406	-81.458405
221.679688	-83.214478
222.167969	-82.739754
222.656250	-84.363052
223.144531	-82.176208
223.632812	-81.496307
224.121094	-81.926491
224.609375	-80.960846
225.097656	-82.469124
225.585938	-81.465912
226.074219	-81.311745
226.562500	-82.866859
227.050781	-83.379242
227.539062	-80.610619
228.027344	-83.332077
228.515625	-83.323120
229.003906	-81.830620
229.492188	-81.708679
229.980469	-81.344574
230.468750	-81.919083
230.957031	-82.211540
231.445312	-81.522896
231.933594	-80.906769
232.421875	-80.617020
232.910156	-82.074570
233.398438	-79.970711
233.886719	-81.597954
234.375000	-80.048256
234.863281	-81.056633
235.351562	-83.165749
235.839844	-83.291672
236.328125	-83.110657
236.816406	-81.038582
237.304688	-78.671410
237.792969	-82.744720
238.281250	-85.129662
238.769531	-82.416962
239.257812	-80.686935
239.746094	-81.163162
240.234375	-81.894470
240.722656	-81.957939
241.210938	-82.212868
241.699219	-82.203613
242.187500	-81.956367
242.675781	-82.292542
243.164062	-83.113647
243.652344	-80.942001
244.140625	-80.885582
244.628906	-79.948997
245.117188	-80.364243
245.605469	-81.331017
246.093750	-83.183983
