Frequency (Hz)	Level (dB)				
1925.875854	-55.983204				
1927.22168	-56.587429				
1928.567505	-57.816864				
1929.91333	-57.77203				
1931.259155	-57.438946				
1932.60498	-56.566097				
1933.950806	-56.102474				
1935.296631	-57.477566				
1936.642456	-57.155399				
1937.988281	-57.756676				
1939.334106	-56.806843				
1940.679932	-55.971935				
1942.025757	-57.095196				
1943.371582	-57.334244				
1944.717407	-56.801373				
1946.063232	-57.497791				
1947.409058	-57.388771				
1948.754883	-56.331116				
1950.100708	-56.908615				
1951.446533	-56.355511				
1952.792358	-56.663029				
1954.138184	-56.947136				
1955.484009	-55.584366				
1956.829834	-57.028923				
1958.175659	-56.562332				
1959.521484	-56.464928				
1960.86731	-58.260769				
1962.213135	-56.930374				
1963.55896	-56.286587				
1964.904785	-56.777908				
1966.25061	-55.447937				
1967.596436	-56.564011				
1968.942261	-56.168941				
1970.288086	-56.561069				
1971.633911	-56.232605				
1972.979736	-56.620728				
1974.325562	-57.103687				
1975.671387	-56.2813				
1977.017212	-56.780602				
1978.363037	-56.762619				
1979.708862	-57.173912				
1981.054688	-56.842216				
1982.400513	-55.468632				
1983.746338	-55.783436				
1985.092163	-55.530857				
1986.437988	-55.44376				
1987.783813	-56.592621				
1989.129639	-56.193954				
1990.475464	-55.572803				
1991.821289	-57.376667				
1993.167114	-56.259605				
1994.512939	-56.527378				
1995.858765	-55.509106				
1997.20459	-56.289467				
1998.550415	-55.475731				
1999.89624	-56.370319				
2001.242065	-55.867226				
2002.587891	-56.26096				
2003.933716	-55.876743				
2005.279541	-55.5872				
2006.625366	-55.816521				
2007.971191	-55.657894				
2009.317017	-56.078209				
2010.662842	-55.313946				
2012.008667	-55.751484				
2013.354492	-55.568882				
2014.700317	-56.013027				
2016.046143	-54.977821				
2017.391968	-55.821899				
2018.737793	-55.610538				
2020.083618	-54.605675				
2021.429443	-53.51965				
2022.775269	-54.68124				
2024.121094	-53.879974				
2025.466919	-54.712769				
2026.812744	-54.647938				
2028.158569	-54.672237				
2029.504395	-54.20509				
2030.85022	-55.116943				
2032.196045	-54.546925				
2033.54187	-54.645321				
2034.887695	-53.964043				
2036.233521	-54.025555				
2037.579346	-53.731678				
2038.925171	-53.881481				
2040.270996	-54.493191				
2041.616821	-54.745285				
2042.962646	-53.72541				
2044.308472	-54.136921				
2045.654297	-53.800175				
2047.000122	-53.634121				
2048.345947	-53.56979				
2049.691772	-53.647682				
2051.037598	-53.712124				
2052.383423	-54.003918				
