Frequency (Hz)	Level (dB)
180.664062	-71.605789
181.152344	-72.047913
181.640625	-71.778992
182.128906	-71.818886
182.617188	-73.563599
183.105469	-72.445251
183.593750	-71.909386
184.082031	-71.632172
184.570312	-72.460335
185.058594	-73.872101
185.546875	-73.976067
186.035156	-71.867043
186.523438	-71.430359
187.011719	-73.132362
187.500000	-75.102669
187.988281	-73.292587
188.476562	-73.513313
188.964844	-72.933540
189.453125	-73.349998
189.941406	-72.950775
190.429688	-74.594719
190.917969	-72.973259
191.406250	-74.649948
191.894531	-73.709457
192.382812	-74.341095
192.871094	-73.283592
193.359375	-73.446655
193.847656	-73.049690
194.335938	-73.275475
194.824219	-72.658150
195.312500	-73.444901
195.800781	-74.479240
196.289062	-75.554054
196.777344	-74.855728
197.265625	-74.767639
197.753906	-73.842346
198.242188	-73.653122
198.730469	-73.798470
199.218750	-74.029716
199.707031	-73.330864
200.195312	-72.252022
200.683594	-73.860725
201.171875	-73.707001
201.660156	-75.192863
202.148438	-72.679070
202.636719	-73.744080
203.125000	-73.401192
203.613281	-75.979622
204.101562	-75.224602
204.589844	-73.443268
205.078125	-74.342873
205.566406	-74.342331
206.054688	-74.130814
206.542969	-73.934158
207.031250	-74.270790
207.519531	-75.422134
208.007812	-74.141098
208.496094	-73.700623
208.984375	-74.967422
209.472656	-76.222748
209.960938	-76.137932
210.449219	-74.073936
210.937500	-75.001717
211.425781	-75.218384
211.914062	-76.175751
212.402344	-74.827652
212.890625	-74.749733
213.378906	-73.488838
213.867188	-73.933311
214.355469	-75.524719
214.843750	-75.644577
215.332031	-76.722214
215.820312	-76.092834
216.308594	-76.927612
216.796875	-74.985115
217.285156	-75.368637
217.773438	-75.448387
218.261719	-75.557747
218.750000	-77.225838
219.238281	-76.792831
219.726562	-76.450882
220.214844	-76.003822
220.703125	-75.025299
221.191406	-76.333374
221.679688	-76.505020
222.167969	-77.016182
222.656250	-76.140396
223.144531	-75.444710
223.632812	-74.576912
224.121094	-76.480286
224.609375	-75.827843
225.097656	-77.161667
225.585938	-77.398979
226.074219	-78.761696
226.562500	-76.721848
227.050781	-77.934120
227.539062	-75.968925
228.027344	-75.983604
228.515625	-76.686409
229.003906	-77.671814
229.492188	-76.682899
229.980469	-77.375908
230.468750	-76.873909
230.957031	-76.705147
231.445312	-76.602287
231.933594	-76.171959
232.421875	-76.561996
232.910156	-76.768921
233.398438	-76.242439
233.886719	-75.578560
234.375000	-75.635139
234.863281	-76.072510
235.351562	-76.525467
235.839844	-75.618942
236.328125	-76.549721
236.816406	-74.513695
237.304688	-73.488625
237.792969	-75.609177
238.281250	-76.647888
238.769531	-76.529457
239.257812	-76.105614
