Frequency (Hz)	Level (dB)
188.476562	-78.505386
188.964844	-77.877495
189.453125	-78.990501
189.941406	-77.324066
190.429688	-78.943359
190.917969	-78.614738
191.406250	-78.595558
191.894531	-79.734222
192.382812	-78.958847
192.871094	-77.812431
193.359375	-79.152390
193.847656	-79.156792
194.335938	-77.604912
194.824219	-77.109039
195.312500	-78.230194
195.800781	-78.990273
196.289062	-79.620491
196.777344	-79.179619
197.265625	-79.895676
197.753906	-79.721214
198.242188	-80.249847
198.730469	-76.368904
199.218750	-78.200966
199.707031	-78.542801
200.195312	-77.461746
200.683594	-77.094940
201.171875	-77.424797
201.660156	-79.572708
202.148438	-75.976143
202.636719	-75.945023
203.125000	-77.869514
203.613281	-81.241096
204.101562	-78.601570
204.589844	-78.458061
205.078125	-79.761726
205.566406	-77.404366
206.054688	-79.653381
206.542969	-78.788025
207.031250	-79.653534
207.519531	-79.976212
208.007812	-77.869186
208.496094	-77.973366
208.984375	-78.974556
209.472656	-80.566750
209.960938	-78.979919
210.449219	-78.097023
210.937500	-79.441467
211.425781	-78.211555
211.914062	-79.599014
212.402344	-78.705750
212.890625	-78.571892
213.378906	-75.402161
213.867188	-77.632942
214.355469	-78.866508
214.843750	-79.983765
215.332031	-78.455971
215.820312	-79.337257
216.308594	-79.434891
216.796875	-77.838257
217.285156	-76.258308
217.773438	-77.569328
218.261719	-78.962952
218.750000	-78.884819
219.238281	-80.005356
219.726562	-78.472481
220.214844	-78.945747
220.703125	-78.367203
221.191406	-78.101601
221.679688	-79.648048
222.167969	-78.907227
222.656250	-79.061798
223.144531	-78.949448
223.632812	-76.649734
224.121094	-79.350960
224.609375	-79.563263
225.097656	-79.883949
225.585938	-79.114830
226.074219	-79.967117
226.562500	-78.481461
227.050781	-79.771545
227.539062	-78.909760
228.027344	-79.445694
228.515625	-79.090332
229.003906	-79.195175
229.492188	-78.109253
229.980469	-80.284264
230.468750	-80.402382
230.957031	-80.170570
231.445312	-79.609207
231.933594	-78.675804
232.421875	-78.578506
232.910156	-79.434662
233.398438	-78.157822
233.886719	-78.137978
234.375000	-77.960335
234.863281	-78.245399
235.351562	-79.174423
235.839844	-78.471031
236.328125	-78.387886
236.816406	-77.971069
237.304688	-73.843330
237.792969	-78.998817
238.281250	-81.567924
238.769531	-79.368156
239.257812	-78.798447
239.746094	-77.853706
240.234375	-79.407906
240.722656	-79.186554
241.210938	-80.255188
241.699219	-79.742180
242.187500	-79.369644
242.675781	-80.464462
243.164062	-80.066612
243.652344	-79.116394
244.140625	-79.081306
244.628906	-77.101372
245.117188	-76.770073
245.605469	-80.043060
246.093750	-79.703796
246.582031	-78.242012
247.070312	-77.113342
247.558594	-78.739738
248.046875	-79.260452
248.535156	-77.848076
249.023438	-79.938126
249.511719	-79.798599
250.000000	-77.362679
250.488281	-79.907616
250.976562	-78.285950
251.464844	-79.142761
251.953125	-78.512039
252.441406	-79.201157
252.929688	-79.286919
253.417969	-77.827522
253.906250	-78.720543
254.394531	-80.126953
254.882812	-79.835381
255.371094	-77.234085
255.859375	-76.730797
